host_id,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_listings_count,host_has_profile_pic,host_identity_verified,neighbourhood_cleansed,neighbourhood_group_cleansed,latitude,longitude,room_type,accommodates,bathrooms,bathrooms_text,bedrooms,beds,amenities,price,minimum_nights,maximum_nights,has_availability,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_l30d,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,has_reviews,log_price
2845,2,61.0,21.0,0.0,7.0,1.0,1.0,131,2,40.75356,-73.98559,0,1,1.0,2,0.0,1.0,5032,240.0,30,1125,1.0,30,60,90,365,49,0,4.68,4.73,4.63,4.77,4.8,4.81,4.4,0,1,5.484796933490655
7378,1,100.0,100.0,0.0,1.0,1.0,1.0,192,1,40.66265,-73.99454,0,4,1.5,5,2.0,2.0,13619,216.0,30,730,1.0,0,0,13,37,4,0,4.75,4.75,4.5,5.0,5.0,4.75,4.75,1,1,5.37989735354046
15991,4,100.0,100.0,1.0,1.0,1.0,1.0,216,1,40.70935,-73.95342,0,3,1.0,2,2.0,1.0,15939,96.0,30,120,1.0,5,7,7,182,195,1,4.58,4.59,4.85,4.85,4.8,4.69,4.58,0,1,4.574710978503383
16104,3,100.0,33.0,0.0,2.0,1.0,0.0,63,2,40.80107,-73.94255,2,1,1.0,4,1.0,1.0,2432,59.0,30,180,1.0,23,53,83,83,1,0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0,1,4.0943445622221
16800,4,100.0,86.0,0.0,1.0,1.0,1.0,63,2,40.78778,-73.94759,2,1,1.0,4,2.0,2.0,15748,59.0,30,365,1.0,2,2,2,209,252,0,4.88,4.83,4.95,4.96,4.94,4.85,4.83,0,1,4.0943445622221
17571,4,100.0,100.0,1.0,2.0,1.0,1.0,82,1,40.69194,-73.97389,2,2,1.0,3,1.0,2.0,14487,195.0,2,1125,1.0,1,7,15,29,406,4,4.89,4.91,4.9,4.97,4.93,4.95,4.82,1,1,5.278114659230517
21207,4,100.0,96.0,1.0,4.0,1.0,1.0,216,1,40.718807220458984,-73.9561767578125,0,2,1.0,2,0.0,1.0,8729,290.0,30,120,1.0,0,0,0,0,13,0,4.91,4.78,4.67,4.89,4.78,5.0,4.89,0,1,5.673323267171493
25183,1,100.0,90.0,0.0,2.0,1.0,1.0,13,1,40.684555843449075,-73.93963415175676,0,5,1.0,2,1.0,4.0,14457,170.0,30,1125,1.0,3,7,8,191,190,0,4.77,4.83,4.74,4.88,4.88,4.67,4.76,0,1,5.14166355650266
204539,3,100.0,11.0,0.0,11.0,1.0,1.0,168,3,40.70309,-73.89963,0,16,2.5,11,5.0,9.0,12121,425.0,30,730,1.0,30,60,90,365,13,0,4.42,4.64,4.36,4.82,5.0,4.82,4.55,0,1,6.054439346269371
204586,1,100.0,90.0,0.0,1.0,1.0,1.0,138,0,40.80635,-73.92201,2,1,1.0,4,1.0,1.0,2445,60.0,30,40,1.0,23,53,83,83,0,0,4.85,0.0,0.0,0.0,0.0,0.0,0.0,1,0,4.110873864173311
